Rank,Position,Name,School,Grade,URL
1,S,Caleb Downs,Ohio State,9.2,https://bleacherreport.com/articles/25248468-nfl-draft-2026-scouting-report-ohio-state-s-caleb-downs
2,RB,Jeremiyah Love,Notre Dame,9.0,https://bleacherreport.com/articles/25248572-nfl-draft-2026-scouting-report-notre-dame-rb-jeremiyah-love
3,QB,Fernando Mendoza,Indiana,8.6,https://bleacherreport.com/articles/25248189-nfl-draft-2026-scouting-report-indiana-qb-fernando-mendoza
4,LB,Arvell Reese,Ohio State,8.5,https://bleacherreport.com/articles/25261843-nfl-draft-2026-scouting-report-ohio-state-lb-arvell-reese
5,Edge,Rueben Bain Jr.,Miami,8.5,https://bleacherreport.com/articles/25249523-nfl-draft-2026-scouting-report-miami-edge-rueben-bain-jr
6,LB,Sonny Styles,Ohio State,8.4,https://bleacherreport.com/articles/25249903-nfl-draft-2026-scouting-report-ohio-state-lb-sonny-styles
7,Edge,David Bailey,Texas Tech,8.4,https://bleacherreport.com/articles/25258657-nfl-draft-2026-scouting-report-texas-tech-edge-david-bailey
8,CB,Mansoor Delane,LSU,8.2,https://bleacherreport.com/articles/25250719-nfl-draft-2026-scouting-report-lsu-cb-mansoor-delane
9,WR,Jordyn Tyson,Arizona State,8.2,https://bleacherreport.com/articles/25248631-nfl-draft-2026-scouting-report-arizona-state-wr-jordyn-tyson
10,WR,Carnell Tate,Ohio State,8.1,https://bleacherreport.com/articles/25252853-nfl-draft-2026-scouting-report-ohio-state-wr-carnell-tate
11,CB,Jermod McCoy,Tennessee,8.1,https://bleacherreport.com/articles/25389365-nfl-draft-2026-scouting-report-tennessee-cb-jermod-mccoy
12,WR,Kevin Concepcion,Texas A&M,8.1,https://bleacherreport.com/articles/25293025-nfl-draft-2026-scouting-report-texas-am-wr-kc-concepcion
13,IOL,Olaivavega Ioane,Penn State,8.1,https://bleacherreport.com/articles/25258484-nfl-draft-2026-scouting-report-penn-state-iol-olaivavega-ioane
14,WR,Makai Lemon,USC,8.1,https://bleacherreport.com/articles/25260194-nfl-draft-2026-scouting-report-usc-wr-makai-lemon
15,OT,Spencer Fano,Utah,8.0,https://bleacherreport.com/articles/25249795-nfl-draft-2026-scouting-report-utah-ot-spencer-fano
16,IOL,Francis Mauigoa,Miami,8.0,https://bleacherreport.com/articles/25250168-nfl-draft-2026-scouting-report-miami-iol-francis-mauigoa
17,TE,Kenyon Sadiq,Oregon,8.0,https://bleacherreport.com/articles/25248486-nfl-draft-2026-scouting-report-oregon-te-kenyon-sadiq
18,S,Dillon Thieneman,Oregon,8.0,https://bleacherreport.com/articles/25248478-nfl-draft-2026-scouting-report-oregon-s-dillon-thieneman
19,DL,Keldric Faulk,Auburn,8.0,https://bleacherreport.com/articles/25252729-nfl-draft-2026-scouting-report-auburn-edge-keldric-faulk
20,S,Emmanuel McNeil-Warren,Toledo,8.0,https://bleacherreport.com/articles/25253200-nfl-draft-2026-scouting-report-toledo-s-emmanuel-mcneil-warren
21,CB,Avieon Terrell,Clemson,8.0,https://bleacherreport.com/articles/25252318-nfl-draft-2026-scouting-report-clemson-cb-avieon-terrell
22,WR,Omar Cooper Jr.,Indiana,8.0,https://bleacherreport.com/articles/25294718-nfl-draft-2026-scouting-report-indiana-wr-omar-cooper-jr
23,Edge,T.J. Parker,Clemson,7.9,https://bleacherreport.com/articles/25248619-nfl-draft-2026-scouting-report-clemson-edge-tj-parker
24,DL,Kayden McDonald,Ohio State,7.9,https://bleacherreport.com/articles/25293715-nfl-draft-2026-scouting-report-ohio-state-dl-kayden-mcdonald
25,Edge,Akheem Mesidor,Miami,7.9,https://bleacherreport.com/articles/25345435-nfl-draft-2026-scouting-report-miami-edge-akheem-mesidor
26,LB,CJ Allen,Georgia,7.8,https://bleacherreport.com/articles/25253011-nfl-draft-2026-scouting-report-georgia-lb-cj-allen
27,CB,D'Angelo Ponds,Indiana,7.8,https://bleacherreport.com/articles/25292962-nfl-draft-2026-scouting-report-indiana-cb-dangelo-ponds
28,WR,Denzel Boston,Washington,7.8,https://bleacherreport.com/articles/25252048-nfl-draft-2026-scouting-report-washington-wr-denzel-boston
29,Edge,Cashius Howell,Texas A&M,7.8,https://bleacherreport.com/articles/25250796-nfl-draft-2026-scouting-report-texas-am-edge-cashius-howell
30,CB,Chris Johnson,San Diego State,7.8,https://bleacherreport.com/articles/25271599-nfl-draft-2026-scouting-report-sdsu-cb-chris-johnson
31,DL,Peter Woods,Clemson,7.8,https://bleacherreport.com/articles/25248167-nfl-draft-2026-scouting-report-clemson-dl-peter-woods
32,RB,Jadarian Price,Notre Dame,7.8,https://bleacherreport.com/articles/25311700-nfl-draft-2026-scouting-report-notre-dame-rb-jadarian-price
33,OT,Kadyn Proctor,Alabama,7.7,https://bleacherreport.com/articles/25240068-nfl-draft-2026-scouting-report-alabama-ot-kadyn-proctor
34,CB,Chandler Rivers,Duke,7.7,https://bleacherreport.com/articles/25258822-nfl-draft-2026-scouting-report-duke-cb-chandler-rivers
35,OT,Blake Miller,Clemson,7.7,https://bleacherreport.com/articles/25292325-nfl-draft-2026-scouting-report-clemson-ot-blake-miller
36,Edge,Zion Young,Missouri,7.7,https://bleacherreport.com/articles/25284911-nfl-draft-2026-scouting-report-missouri-edge-zion-young
37,LB,Jake Golday,Cincinnati,7.7,https://bleacherreport.com/articles/25291291-nfl-draft-2026-scouting-report-cincinnati-lb-jake-golday
38,WR,Chris Bell,Louisville,7.7,https://bleacherreport.com/articles/25262493-nfl-draft-2026-scouting-report-louisville-wr-chris-bell
39,DL,Lee Hunter,Texas Tech,7.7,https://bleacherreport.com/articles/25297372-nfl-draft-2026-scouting-report-texas-tech-dl-lee-hunter
40,CB,Malik Muhammad,Texas,7.7,https://bleacherreport.com/articles/25252759-nfl-draft-2026-scouting-report-texas-cb-malik-muhammad
41,S,Zakee Wheatley,Penn State,7.7,https://bleacherreport.com/articles/25250463-nfl-draft-2026-scouting-report-penn-state-s-zakee-wheatley
42,WR,Chris Brazzell II,Tennessee,7.7,https://bleacherreport.com/articles/25260055-nfl-draft-2026-scouting-report-tennessee-wr-chris-brazzell-ii
43,TE,Max Klare,Ohio State,7.7,https://bleacherreport.com/articles/25253135-nfl-draft-2026-scouting-report-ohio-state-te-max-klare
44,QB,Ty Simpson,Alabama,7.7,https://bleacherreport.com/articles/25258050-nfl-draft-2026-scouting-report-alabama-qb-ty-simpson
45,OT,Monroe Freeling,Georgia,7.6,https://bleacherreport.com/articles/25325883-nfl-draft-2026-scouting-report-georgia-ot-monroe-freeling
46,Edge,Malachi Lawrence,UCF,7.6,https://bleacherreport.com/articles/25405573-nfl-draft-2026-scouting-report-ucf-edge-malachi-lawrence
47,WR,Ted Hurst,Georgia State,7.6,https://bleacherreport.com/articles/25387628-nfl-draft-2026-scouting-report-georgia-state-wr-ted-hurst
48,DL,Christen Miller,Georgia,7.6,https://bleacherreport.com/articles/25259039-nfl-draft-2026-scouting-report-georgia-dl-christen-miller
49,WR,Skyler Bell,Connecticut,7.6,https://bleacherreport.com/articles/25294690-nfl-draft-2026-scouting-report-connecticut-wr-skyler-bell
50,Edge,Gabe Jacas,Illinois,7.6,https://bleacherreport.com/articles/25317002-nfl-draft-2026-scouting-report-illinois-edge-gabe-jacas
51,WR,Malachi Fields,Notre Dame,7.6,https://bleacherreport.com/articles/25361375-nfl-draft-2026-scouting-report-notre-dame-wr-malachi-fields
52,IOL,Keylan Rutledge,Georgia Tech,7.6,https://bleacherreport.com/articles/25250183-nfl-draft-2026-scouting-report-georgia-tech-iol-keylan-rutledge
53,S,A.J. Haulcy,LSU,7.6,https://bleacherreport.com/articles/25336527-nfl-draft-2026-scouting-report-lsu-s-aj-haulcy
54,CB,Colton Hood,Tennessee,7.6,https://bleacherreport.com/articles/25299813-nfl-draft-2026-scouting-report-tennessee-cb-colton-hood
55,WR,Germie Bernard,Alabama,7.5,https://bleacherreport.com/articles/25288898-nfl-draft-2026-scouting-report-alabama-wr-germie-bernard
56,IOL,Chase Bisontis,Texas A&M,7.5,https://bleacherreport.com/articles/25293122-nfl-draft-2026-scouting-report-texas-am-iol-chase-bisontis
57,OT,Caleb Lomu,Utah,7.5,https://bleacherreport.com/articles/25252260-nfl-draft-2026-scouting-report-utah-ot-caleb-lomu
58,S,Jalon Kilgore,South Carolina,7.5,https://bleacherreport.com/articles/25260916-nfl-draft-2026-scouting-report-south-carolina-cb-jalon-kilgore
59,Edge,R Mason Thomas,Oklahoma,7.5,https://bleacherreport.com/articles/25262883-nfl-draft-2026-scouting-report-oklahoma-edge-r-mason-thomas
60,DL,Caleb Banks,Florida,7.5,https://bleacherreport.com/articles/25289844-nfl-draft-2026-scouting-report-florida-dl-caleb-banks
61,WR,Deion Burks,Oklahoma,7.5,https://bleacherreport.com/articles/25327600-nfl-draft-2026-scouting-report-oklahoma-wr-deion-burks
62,IOL,Emmanuel Pregnon,Oregon,7.5,https://bleacherreport.com/articles/25260525-nfl-draft-2026-scouting-report-oregon-iol-emmanuel-pregnon
63,CB,Davison Igbinosun,Ohio State,7.5,https://bleacherreport.com/articles/25265220-nfl-draft-2026-scouting-report-ohio-state-cb-davison-igbinosun
64,LB,Josiah Trotter,Missouri,7.5,https://bleacherreport.com/articles/25385284-nfl-draft-2026-scouting-report-missouri-lb-josiah-trotter
65,WR,Zachariah Branch,Georgia,7.5,https://bleacherreport.com/articles/25270635-nfl-draft-2026-scouting-report-georgia-wr-zachariah-branch
66,RB,Mike Washington Jr.,Arkansas,7.5,https://bleacherreport.com/articles/25308282-nfl-draft-2026-scouting-report-arkansas-rb-mike-washington-jr
67,OT,Max Iheanachor,Arizona State,7.4,https://bleacherreport.com/articles/25295941-nfl-draft-2026-scouting-report-arizona-state-ot-max-iheanachor
68,WR,De'Zhaun Stribling,Ole Miss,7.4,https://bleacherreport.com/articles/25353590-nfl-draft-2026-scouting-report-ole-miss-wr-dezhaun-stribling
69,CB,Brandon Cisse,South Carolina,7.4,https://bleacherreport.com/articles/25252312-nfl-draft-2026-scouting-report-south-carolina-cb-brandon-cisse
70,S,Bud Clark,TCU,7.4,https://bleacherreport.com/articles/25294726-nfl-draft-2026-scouting-report-tcu-s-bud-clark
71,Edge,Derrick Moore,Michigan,7.4,https://bleacherreport.com/articles/25315217-nfl-draft-2026-scouting-report-michigan-edge-derrick-moore
72,WR,Antonio Williams,Clemson,7.4,https://bleacherreport.com/articles/25308258-nfl-draft-2026-scouting-report-clemson-wr-antonio-williams
73,LB,Anthony Hill Jr.,Texas,7.4,https://bleacherreport.com/articles/25251782-nfl-draft-2026-scouting-report-texas-lb-anthony-hill-jr
74,CB,Treydan Stukes,Arizona,7.4,https://bleacherreport.com/articles/25352707-nfl-draft-2026-scouting-report-arizona-cb-treydan-stukes
75,WR,Elijah Sarratt,Indiana,7.4,https://bleacherreport.com/articles/25260206-nfl-draft-2026-scouting-report-indiana-wr-elijah-sarratt
76,S,Kamari Ramsey,USC,7.4,https://bleacherreport.com/articles/25262645-nfl-draft-2026-scouting-report-usc-s-kamari-ramsey
77,TE,Michael Trigg,Baylor,7.4,https://bleacherreport.com/articles/25260928-nfl-draft-2026-scouting-report-baylor-te-michael-trigg
78,LB,Jacob Rodriguez,Texas Tech,7.3,https://bleacherreport.com/articles/25324593-nfl-draft-2026-scouting-report-texas-tech-lb-jacob-rodriguez
79,OT,Markel Bell,Miami,7.3,https://bleacherreport.com/articles/25361369-nfl-draft-2026-scouting-report-miami-ot-markel-bell
80,DL,Domonique Orange,Iowa State,7.3,https://bleacherreport.com/articles/25261690-nfl-draft-2026-scouting-report-iowa-state-dl-domonique-orange
81,Edge,Dani Dennis-Sutton,Penn State,7.3,https://bleacherreport.com/articles/25261646-nfl-draft-2026-scouting-report-penn-state-edge-dani-dennis-sutton
82,S,Genesis Smith,Arizona,7.3,https://bleacherreport.com/articles/25352435-nfl-draft-2026-scouting-report-arizona-s-genesis-smith
83,CB,Daylen Everette,Georgia,7.3,https://bleacherreport.com/articles/25316391-nfl-draft-2026-scouting-report-georgia-cb-daylen-everette
84,S,Jakobe Thomas,Miami,7.3,https://bleacherreport.com/articles/25336309-nfl-draft-2026-scouting-report-miami-s-jakobe-thomas
85,WR,Josh Cameron,Baylor,7.2,https://bleacherreport.com/articles/25344776-nfl-draft-2026-scouting-report-baylor-wr-josh-cameron
86,TE,Eli Raridon,Notre Dame,7.2,https://bleacherreport.com/articles/25260922-nfl-draft-2026-scouting-report-notre-dame-te-eli-raridon
87,CB,Julian Neal,Arkansas,7.2,https://bleacherreport.com/articles/25360237-nfl-draft-2026-scouting-report-arkansas-cb-julian-neal
88,WR,Cyrus Allen,Cincinnati,7.2,https://bleacherreport.com/articles/25387586-nfl-draft-2026-scouting-report-cincinnati-wr-cyrus-allen
89,IOL,Sam Hecht,Kansas State,7.2,https://bleacherreport.com/articles/25326833-nfl-draft-2026-scouting-report-kansas-state-iol-sam-hecht
90,DL,Darrell Jackson Jr.,Florida State,7.2,https://bleacherreport.com/articles/25313048-nfl-draft-2026-scouting-report-florida-state-dl-darrell-jackson-jr
91,TE,Sam Roush,Stanford,7.2,https://bleacherreport.com/articles/25312723-nfl-draft-2026-scouting-report-stanford-te-sam-roush
92,Edge,Romello Height,Texas Tech,7.2,https://bleacherreport.com/articles/25286597-nfl-draft-2026-scouting-report-texas-tech-edge-romello-height
93,TE,Eli Stowers,Vanderbilt,7.1,https://bleacherreport.com/articles/25392551-nfl-draft-2026-scouting-report-vanderbilt-te-eli-stowers
94,IOL,Gennings Dunker,Iowa,7.1,https://bleacherreport.com/articles/25263436-nfl-draft-2026-scouting-report-iowa-iol-gennings-dunker
95,CB,Keith Abney II,Arizona State,7.1,https://bleacherreport.com/articles/25299835-nfl-draft-2026-scouting-report-arizona-state-cb-keith-abney-ii
96,TE,Oscar Delp,Georgia,7.1,https://bleacherreport.com/articles/25285123-nfl-draft-2026-scouting-report-georgia-te-oscar-delp
97,CB,Ephesians Prysock,Washington,7.1,https://bleacherreport.com/articles/25386158-nfl-draft-2026-scouting-report-washington-cb-ephesians-prysock
98,TE,Justin Joly,North Carolina State,7.1,https://bleacherreport.com/articles/25347491-nfl-draft-2026-scouting-report-nc-state-te-justin-joly
99,OT,Caleb Tiernan,Northwestern,7.1,https://bleacherreport.com/articles/25260738-nfl-draft-2026-scouting-report-northwestern-ot-caleb-tiernan
100,DL,LT Overton,Alabama,7.1,https://bleacherreport.com/articles/25250725-nfl-draft-2026-scouting-report-alabama-dl-lt-overton
101,LB,Deontae Lawson,Alabama,7.1,https://bleacherreport.com/articles/25263600-nfl-draft-2026-scouting-report-alabama-lb-deontae-lawson
102,S,Louis Moore,Indiana,7.1,https://bleacherreport.com/articles/25325473-nfl-draft-2026-scouting-report-indiana-s-louis-moore
103,QB,Drew Allar,Penn State,7.0,https://bleacherreport.com/articles/25248553-nfl-draft-2026-scouting-report-penn-state-qb-drew-allar
104,OT,Travis Burke,Memphis,7.0,https://bleacherreport.com/articles/25405102-nfl-draft-2026-scouting-report-memphis-ot-travis-burke
105,Edge,Joshua Josephs,Tennessee,7.0,https://bleacherreport.com/articles/25292445-nfl-draft-2026-scouting-report-tennessee-edge-joshua-josephs
106,CB,Jadon Canady,Oregon,7.0,https://bleacherreport.com/articles/25326612-nfl-draft-2026-scouting-report-oregon-cb-jadon-canady
107,QB,Garrett Nussmeier,LSU,7.0,https://bleacherreport.com/articles/25250636-nfl-draft-2026-scouting-report-lsu-qb-garrett-nussmeier
108,OT,Austin Barber,Florida,7.0,https://bleacherreport.com/articles/25294411-nfl-draft-2026-scouting-report-florida-ot-austin-barber
109,IOL,Billy Schrauth,Notre Dame,7.0,https://bleacherreport.com/articles/25394562-nfl-draft-2026-scouting-report-notre-dame-iol-billy-schrauth
110,LB,Taurean York,Texas A&M,7.0,https://bleacherreport.com/articles/25259294-nfl-draft-2026-scouting-report-texas-am-lb-taurean-york
111,IOL,Jake Slaughter,Florida,7.0,https://bleacherreport.com/articles/25322985-nfl-draft-2026-scouting-report-florida-iol-jake-slaughter
112,WR,Ja'Kobi Lane,USC,7.0,https://bleacherreport.com/articles/25355189-nfl-draft-2026-scouting-report-usc-wr-jakobi-lane
113,CB,Devin Moore,Florida,7.0,https://bleacherreport.com/articles/25403359-nfl-draft-2026-scouting-report-florida-cb-devin-moore
114,IOL,Brian Parker II,Duke,7.0,https://bleacherreport.com/articles/25259248-nfl-draft-2026-scouting-report-duke-iol-brian-parker-ii
115,TE,Jack Endries,Texas,7.0,https://bleacherreport.com/articles/25250740-nfl-draft-2026-scouting-report-texas-te-jack-endries
116,IOL,Connor Lew,Auburn,7.0,https://bleacherreport.com/articles/25253258-nfl-draft-2026-scouting-report-auburn-c-connor-lew
117,OT,Jude Bowry,Boston College,7.0,https://bleacherreport.com/articles/25252279-nfl-draft-2026-scouting-report-boston-college-ot-jude-bowry
118,WR,Reggie Virgil,Texas Tech,7.0,https://bleacherreport.com/articles/25387602-nfl-draft-2026-scouting-report-texas-tech-wr-reggie-virgil
119,DL,Zane Durant,Penn State,6.9,https://bleacherreport.com/articles/25356962-nfl-draft-2026-scouting-report-penn-state-dl-zane-durant
120,QB,Carson Beck,Miami,6.9,https://bleacherreport.com/articles/25259988-nfl-draft-2026-scouting-report-miami-qb-carson-beck
121,RB,Emmett Johnson,Nebraska,6.9,https://bleacherreport.com/articles/25294697-nfl-draft-2026-scouting-report-nebraska-rb-emmett-johnson
122,Edge,Jaishawn Barham,Michigan,6.9,https://bleacherreport.com/articles/25406016-nfl-draft-2026-scouting-report-michigan-edge-jaishawn-barham
123,TE,Dallen Bentley,Utah,6.9,https://bleacherreport.com/articles/25403306-nfl-draft-2026-scouting-report-utah-te-dallen-bentley
124,S,Jalen Huskey,Maryland,6.9,https://bleacherreport.com/articles/25418540-nfl-draft-2026-scouting-report-maryland-s-jalen-huskey
125,OT,Diego Pounds,Ole Miss,6.9,https://bleacherreport.com/articles/25404809-nfl-draft-2026-scouting-report-ole-miss-ot-diego-pounds
126,TE,Marlin Klein,Michigan,6.9,https://bleacherreport.com/articles/25405350-nfl-draft-2026-scouting-report-michigan-te-marlin-klein
127,IOL,Beau Stephens,Iowa,6.9,https://bleacherreport.com/articles/25296059-nfl-draft-2026-scouting-report-iowa-iol-beau-stephens
128,CB,Keionte Scott,Miami,6.9,https://bleacherreport.com/articles/25354469-nfl-draft-2026-scouting-report-miami-cb-keionte-scott
129,DL,Gracen Halton,Oklahoma,6.8,https://bleacherreport.com/articles/25328806-nfl-draft-2026-scouting-report-oklahoma-dl-gracen-halton
130,IOL,Jalen Farmer,Kentucky,6.8,https://bleacherreport.com/articles/25358098-nfl-draft-2026-scouting-report-kentucky-iol-jalen-farmer
131,CB,Will Lee III,Texas A&M,6.8,https://bleacherreport.com/articles/25286209-nfl-draft-2026-scouting-report-texas-am-cb-will-lee-iii
132,TE,Dae'Quan Wright,Ole Miss,6.8,https://bleacherreport.com/articles/25397231-nfl-draft-2026-scouting-report-ole-miss-te-daequan-wright
133,QB,Taylen Green,Arkansas,6.8,https://bleacherreport.com/articles/25250851-nfl-draft-2026-scouting-report-arkansas-qb-taylen-green
134,OT,Kage Casey,Boise State,6.8,https://bleacherreport.com/articles/25252270-nfl-draft-2026-scouting-report-boise-state-ot-kage-casey
135,S,Xavier Nwankpa,Iowa,6.8,https://bleacherreport.com/articles/25265402-nfl-draft-2026-scouting-report-iowa-s-xavier-nwankpa
136,CB,Domani Jackson,Alabama,6.8,https://bleacherreport.com/articles/25263485-nfl-draft-2026-scouting-report-alabama-cb-domani-jackson
137,QB,Cole Payton,North Dakota State,6.7,https://bleacherreport.com/articles/25308268-nfl-draft-2026-scouting-report-ndsu-qb-cole-payton
138,Edge,Keyron Crawford,Auburn,6.7,https://bleacherreport.com/articles/25405082-nfl-draft-2026-scouting-report-auburn-edge-keyron-crawford
139,TE,Josh Cuevas,Alabama,6.7,https://bleacherreport.com/articles/25361043-nfl-draft-2026-scouting-report-alabama-te-josh-cuevas
140,CB,Tacario Davis,Washington,6.7,https://bleacherreport.com/articles/25384696-nfl-draft-2026-scouting-report-washington-cb-tacario-davis
141,S,VJ Payne,Kansas State,6.7,https://bleacherreport.com/articles/25404080-nfl-draft-2026-scouting-report-kansas-state-s-vj-payne
